data = {
numObjects = 50;
types = {
{ --player_start
baseType = 0;
baseId = 0;
posX = -32.5;
posY = 6;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_1
baseType = 0;
baseId = 1;
posX = -45;
posY = -5;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_2
baseType = 0;
baseId = 1;
posX = -6.25;
posY = -23.75;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_3
baseType = 0;
baseId = 1;
posX = 6.25;
posY = -23.75;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_4
baseType = 0;
baseId = 1;
posX = 6.875;
posY = 23.125;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_5
baseType = 0;
baseId = 1;
posX = -32.5;
posY = 31.25;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --star_pickup_6
baseType = 0;
baseId = 1;
posX = -1.875;
posY = 15.625;
posZ = 0;
rotX = 0;
rotY = 180;
rotZ = 0;
}
,{ --sprite_light_1
baseType = 2;
baseId = 10000;
posX = -35;
posY = 8.602222919;
posZ = -5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_2
baseType = 2;
baseId = 10000;
posX = -30;
posY = 8.602222919;
posZ = -5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_3
baseType = 2;
baseId = 10000;
posX = -30;
posY = 8.602222919;
posZ = 5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_4
baseType = 2;
baseId = 10000;
posX = -35;
posY = 8.602222919;
posZ = 5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_5
baseType = 2;
baseId = 10000;
posX = -20;
posY = 23.60222292;
posZ = 5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_6
baseType = 2;
baseId = 10000;
posX = -20;
posY = 23.60222292;
posZ = -5.092885017;
rotY = 0;
spriteResId = 30;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_7
baseType = 2;
baseId = 10000;
posX = -45;
posY = -10.3125;
posZ = -5;
rotY = 0;
spriteResId = 31;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_8
baseType = 2;
baseId = 10000;
posX = -45;
posY = -10.3125;
posZ = 5;
rotY = 0;
spriteResId = 31;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
b = 255;
a = 255;
}
,{ --sprite_light_9
baseType = 2;
baseId = 10000;
posX = -40;
posY = -10.3125;
posZ = 5;
rotY = 0;
spriteResId = 31;
spriteType = 0;
w = 3;
h = 3;
d = 0;
r = 255;
g = 255;
